CustomerFullName,TotalSpend
Helena Holý,49.62
Richard Cunningham,47.62
Luis Rojas,46.62
Ladislav Kovács,45.62
Hugh O'Reilly,45.62
Julia Barnett,43.62
Fynn Zimmermann,43.62
Frank Ralston,43.62
Victor Stevens,42.62
Astrid Gruber,42.62
Terhi Hämäläinen,41.62
Isabelle Mercier,40.62
František Wichterlová,40.62
Johannes Van der Berg,40.62
João Fernandes,39.62
Jack Smith,39.62
Wyatt Girard,39.62
Luís Gonçalves,39.62
Heather Leacock,39.62
François Tremblay,39.62
Dan Miller,39.62
Bjørn Hansen,39.62
Tim Goyer,38.62
Manoj Pareek,38.62
Joakim Johansson,38.62
